,Item Name,Date,Average Price,Total Trade Volume,High Price Trade Volume,Low Price Trade Volume,Average High Price,Average Low Price,,
0,Babydragon bones,2023-03-23 5:10,1060,15,0,15,,1060,,
1,Babydragon bones,2023-03-23 5:15,1154,19,0,19,,1154,,
2,Babydragon bones,2023-03-23 5:20,1154,36,0,36,,1154,,
3,Babydragon bones,2023-03-23 5:25,1131,665,0,665,,1131,,
4,Babydragon bones,2023-03-23 5:30,1154,1,1,0,1154,,,
5,Babydragon bones,2023-03-23 5:35,1060.652778,144,1,143,1154,1060,,
6,Babydragon bones,2023-03-23 5:40,1060,20,0,20,,1060,,
7,Babydragon bones,2023-03-23 5:45,1060,2,0,2,,1060,,
8,Babydragon bones,2023-03-23 5:50,1186,202,202,0,1186,,,
9,Babydragon bones,2023-03-23 5:55,1188.969277,2018,2002,16,1190,1060,,
10,Babydragon bones,2023-03-23 6:00,1060,308,0,308,,1060,,
11,Babydragon bones,2023-03-23 6:05,1066.046512,43,2,41,1190,1060,,
12,Babydragon bones,2023-03-23 6:10,1059,399,0,399,,1059,,
13,Babydragon bones,2023-03-23 6:15,1051.372263,137,1,136,1102,1051,,
14,Babydragon bones,2023-03-23 6:20,1053.179487,468,20,448,1102,1051,,
15,Babydragon bones,2023-03-23 6:25,1051,121,0,121,,1051,,
16,Babydragon bones,2023-03-23 6:30,1102,2,2,0,1102,,,
17,Babydragon bones,2023-03-23 6:35,1063.75,4,1,3,1102,1051,,
18,Babydragon bones,2023-03-23 6:40,1093,20,15,5,1107,1051,,
19,Babydragon bones,2023-03-23 6:45,1051,4,0,4,,1051,,
20,Babydragon bones,2023-03-23 6:50,1051,17,0,17,,1051,,
21,Babydragon bones,2023-03-23 6:55,1051,137,0,137,,1051,,
22,Babydragon bones,2023-03-23 7:00,1051,2,0,2,,1051,,
23,Babydragon bones,2023-03-23 7:05,1068,3,1,2,1102,1051,,
24,Babydragon bones,2023-03-23 7:10,1097.363636,132,120,12,1102,1051,,
25,Babydragon bones,2023-03-23 7:15,1051,2,0,2,,1051,,
26,Babydragon bones,2023-03-23 7:20,1051,3,0,3,,1051,,
27,Babydragon bones,2023-03-23 7:25,1076.5,2,1,1,1102,1051,,
28,Babydragon bones,2023-03-23 7:30,1051,45,5,40,1051,1051,,
29,Babydragon bones,2023-03-23 7:35,1051,2122,0,2122,,1051,,
30,Babydragon bones,2023-03-23 7:40,1051.432203,118,1,117,1102,1051,,
31,Babydragon bones,2023-03-23 7:45,1068.169811,3180,1400,1780,1090,1051,,
32,Babydragon bones,2023-03-23 7:50,1051.269841,441,14,427,1090,1050,,
33,Babydragon bones,2023-03-23 7:55,1050,4,4,0,1050,,,
34,Babydragon bones,2023-03-23 8:00,1052.190202,347,19,328,1090,1050,,
35,Babydragon bones,2023-03-23 8:05,1060.006711,298,80,218,1090,1049,,
36,Babydragon bones,2023-03-23 8:10,984,53,0,53,,984,,
37,Babydragon bones,2023-03-23 8:15,1066.316129,155,137,18,1077,985,,
38,Babydragon bones,2023-03-23 8:20,990.25,40,2,38,1090,985,,
39,Babydragon bones,2023-03-23 8:25,987.2340426,94,2,92,1090,985,,
40,Babydragon bones,2023-03-23 8:30,1060.098039,306,1,305,1090,1060,,
41,Babydragon bones,2023-03-23 8:35,1078.322148,298,182,116,1090,1060,,
42,Babydragon bones,2023-03-23 8:40,1098,25,0,25,,1098,,
43,Babydragon bones,2023-03-23 8:45,1098,67,0,67,,1098,,
44,Babydragon bones,2023-03-23 8:50,1107.024,375,188,187,1116,1098,,
45,Babydragon bones,2023-03-23 8:55,1082,248,0,248,,1082,,
46,Babydragon bones,2023-03-23 9:00,1086.530612,49,10,39,1190,1060,,
47,Babydragon bones,2023-03-23 9:05,1060,167,0,167,,1060,,
48,Babydragon bones,2023-03-23 9:10,1060,8,0,8,,1060,,
49,Babydragon bones,2023-03-23 9:15,1146.666667,39,26,13,1190,1060,,
50,Babydragon bones,2023-03-23 9:20,1060,111,0,111,,1060,,
51,Babydragon bones,2023-03-23 9:25,1060,10,0,10,,1060,,
52,Babydragon bones,2023-03-23 9:30,1188.712871,101,100,1,1190,1060,,
53,Babydragon bones,2023-03-23 9:35,1060,12,0,12,,1060,,
54,Babydragon bones,2023-03-23 9:40,1060,53,0,53,,1060,,
55,Babydragon bones,2023-03-23 9:45,1186.788036,769,750,19,1190,1060,,
56,Babydragon bones,2023-03-23 9:50,1133.666667,30,17,13,1190,1060,,
57,Babydragon bones,2023-03-23 9:55,1062.096774,124,2,122,1190,1060,,
58,Babydragon bones,2023-03-23 10:00,1077.853659,41,3,38,1190,1069,,
59,Babydragon bones,2023-03-23 10:05,1063.04918,122,1,121,1190,1062,,
60,Babydragon bones,2023-03-23 10:10,1060,25,0,25,,1060,,
61,Babydragon bones,2023-03-23 10:15,1121.194379,427,201,226,1190,1060,,
62,Babydragon bones,2023-03-23 10:20,1077.342657,143,62,81,1100,1060,,
63,Babydragon bones,2023-03-23 10:25,1063.268817,465,38,427,1100,1060,,
64,Babydragon bones,2023-03-23 10:30,1057,994,0,994,,1057,,
65,Babydragon bones,2023-03-23 10:35,1017.015088,5501,1,5500,1100,1017,,
66,Babydragon bones,2023-03-23 10:40,984,888,0,888,,984,,
67,Babydragon bones,2023-03-23 10:45,978.6570048,414,106,308,998,972,,
68,Babydragon bones,2023-03-23 10:50,1003.214932,884,461,423,1008,998,,
69,Babydragon bones,2023-03-23 10:55,999,174,87,87,1000,998,,
70,Babydragon bones,2023-03-23 11:00,1095.818792,596,583,13,1098,998,,
71,Babydragon bones,2023-03-23 11:05,998,10,5,5,998,998,,
72,Babydragon bones,2023-03-23 11:10,1050,21,20,1,1050,1050,,
73,Babydragon bones,2023-03-23 11:15,1057.662803,949,745,204,1074,998,,
74,Babydragon bones,2023-03-23 11:20,1121.111111,90,80,10,1130,1050,,
75,Babydragon bones,2023-03-23 11:25,1060.434783,23,3,20,1130,1050,,
76,Babydragon bones,2023-03-23 11:30,1091.6,25,13,12,1130,1050,,
77,Babydragon bones,2023-03-23 11:35,1050,359,0,359,,1050,,
78,Babydragon bones,2023-03-23 11:40,1122.360743,377,341,36,1130,1050,,
79,Babydragon bones,2023-03-23 11:45,1050,240,14,226,1050,1050,,
80,Babydragon bones,2023-03-23 11:50,1101.169029,917,809,108,1108,1050,,
81,Babydragon bones,2023-03-23 11:55,1119,12,11,1,1130,998,,
82,Babydragon bones,2023-03-23 12:00,998,79,0,79,,998,,
83,Babydragon bones,2023-03-23 12:05,998,185,185,0,998,,,
84,Babydragon bones,2023-03-23 12:10,1009.462687,402,400,2,1009,1102,,
85,Babydragon bones,2023-03-23 12:15,1054.8625,80,31,49,1091,1032,,
86,Babydragon bones,2023-03-23 12:20,998,4,4,0,998,,,
87,Babydragon bones,2023-03-23 12:25,1050,2,2,0,1050,,,
88,Babydragon bones,2023-03-23 12:30,1129,202,202,0,1129,,,
89,Babydragon bones,2023-03-23 12:35,1129,1,1,0,1129,,,
90,Babydragon bones,2023-03-23 12:40,1122.834646,254,200,54,1129,1100,,
91,Babydragon bones,2023-03-23 12:45,1060,129,0,129,,1060,,
92,Babydragon bones,2023-03-23 12:50,1127.8867,609,492,117,1130,1119,,
93,Babydragon bones,2023-03-23 12:55,1060,341,0,341,,1060,,
94,Babydragon bones,2023-03-23 13:00,1060,11,0,11,,1060,,
95,Babydragon bones,2023-03-23 13:05,1080.758621,58,16,42,1130,1062,,
96,Babydragon bones,2023-03-23 13:10,1128.762279,2036,2000,36,1130,1060,,
97,Babydragon bones,2023-03-23 13:15,1098,1007,0,1007,,1098,,
98,Babydragon bones,2023-03-23 13:20,1071.94686,207,10,197,1130,1069,,
99,Babydragon bones,2023-03-23 13:25,1060,4,0,4,,1060,,
