,Item Name,Date,Average Price,Total Trade Volume,High Price Trade Volume,Low Price Trade Volume,Average High Price,Average Low Price
0,Babydragon bones,2023-03-10 20:15:00,900.0,2,0,2,,900.0
1,Babydragon bones,2023-03-10 20:20:00,915.0,5,5,0,915.0,
2,Babydragon bones,2023-03-10 20:30:00,902.5,36,6,30,915.0,900.0
3,Babydragon bones,2023-03-10 20:35:00,926.0,74,74,0,926.0,
4,Babydragon bones,2023-03-10 20:45:00,956.0,121,121,0,956.0,
5,Babydragon bones,2023-03-10 20:55:00,900.0,13,0,13,,900.0
6,Babydragon bones,2023-03-10 21:00:00,915.0,21,21,0,915.0,
7,Babydragon bones,2023-03-10 21:05:00,914.5544554455445,202,196,6,915.0,900.0
8,Babydragon bones,2023-03-10 21:10:00,900.0,32,0,32,,900.0
9,Babydragon bones,2023-03-10 21:15:00,899.9999999999999,1313,1201,112,900.0,900.0
10,Babydragon bones,2023-03-10 21:20:00,900.0,35,0,35,,900.0
11,Babydragon bones,2023-03-10 21:25:00,899.0,323,0,323,,899.0
12,Babydragon bones,2023-03-10 21:30:00,898.0,42,0,42,,898.0
13,Babydragon bones,2023-03-10 21:35:00,905.4074074074074,459,200,259,915.0,898.0
14,Babydragon bones,2023-03-10 21:40:00,898.0,204,0,204,,898.0
15,Babydragon bones,2023-03-10 21:45:00,912.0510204081634,196,162,34,915.0,898.0
16,Babydragon bones,2023-03-10 21:50:00,905.8461538461538,234,108,126,915.0,898.0
17,Babydragon bones,2023-03-10 21:55:00,898.0,252,0,252,,898.0
18,Babydragon bones,2023-03-10 22:00:00,898.6439393939394,132,5,127,915.0,898.0
19,Babydragon bones,2023-03-10 22:05:00,915.0,1100,1100,0,915.0,
20,Babydragon bones,2023-03-10 22:10:00,898.0,2,0,2,,898.0
21,Babydragon bones,2023-03-10 22:15:00,910.6787709497207,1074,411,663,915.0,908.0
22,Babydragon bones,2023-03-10 22:20:00,913.1111111111111,9,8,1,915.0,898.0
23,Babydragon bones,2023-03-10 22:25:00,914.1894018887722,3812,3606,206,915.0,900.0
24,Babydragon bones,2023-03-10 22:30:00,914.8148148148148,81,80,1,915.0,900.0
25,Babydragon bones,2023-03-10 22:35:00,908.3798882681564,358,200,158,915.0,900.0
26,Babydragon bones,2023-03-10 22:40:00,910.1931330472103,699,475,224,915.0,900.0
27,Babydragon bones,2023-03-10 22:45:00,900.0,9,0,9,,900.0
28,Babydragon bones,2023-03-10 22:50:00,899.9377483443709,2265,2124,141,900.0,899.0
29,Babydragon bones,2023-03-10 22:55:00,910.0,26,0,26,,910.0
30,Babydragon bones,2023-03-10 23:00:00,916.1469194312796,422,301,121,915.0,919.0
31,Babydragon bones,2023-03-10 23:05:00,925.0,33,0,33,,925.0
32,Babydragon bones,2023-03-10 23:15:00,925.0,28,0,28,,925.0
33,Babydragon bones,2023-03-10 23:20:00,925.2447552447553,143,1,142,960.0,925.0
34,Babydragon bones,2023-03-10 23:25:00,926.0,34,0,34,,926.0
35,Babydragon bones,2023-03-10 23:30:00,926.0,224,0,224,,926.0
36,Babydragon bones,2023-03-10 23:35:00,926.0,222,0,222,,926.0
37,Babydragon bones,2023-03-10 23:40:00,944.5802997858673,467,76,391,963.0,941.0
38,Babydragon bones,2023-03-10 23:45:00,926.0,1112,0,1112,,926.0
39,Babydragon bones,2023-03-10 23:55:00,930.7090909090908,55,7,48,963.0,926.0
40,Babydragon bones,2023-03-11 00:00:00,963.0,204,204,0,963.0,
41,Babydragon bones,2023-03-11 00:05:00,955.1460122699386,815,642,173,963.0,926.0
42,Babydragon bones,2023-03-11 00:10:00,948.9263803680982,489,303,186,963.0,926.0
43,Babydragon bones,2023-03-11 00:15:00,928.2783251231527,1624,100,1524,963.0,926.0
44,Babydragon bones,2023-03-11 00:20:00,952.5641025641025,312,224,88,963.0,926.0
45,Babydragon bones,2023-03-11 00:25:00,952.829383886256,422,306,116,963.0,926.0
46,Babydragon bones,2023-03-11 00:30:00,955.7756410256411,312,151,161,963.0,949.0
47,Babydragon bones,2023-03-11 00:35:00,926.0,50,0,50,,926.0
48,Babydragon bones,2023-03-11 00:40:00,926.0,119,0,119,,926.0
49,Babydragon bones,2023-03-11 00:45:00,963.0,3,3,0,963.0,
50,Babydragon bones,2023-03-11 00:50:00,961.4831625183016,683,655,28,963.0,926.0
51,Babydragon bones,2023-03-11 00:55:00,926.0,444,0,444,,926.0
52,Babydragon bones,2023-03-11 01:00:00,963.0,1,0,1,,963.0
